Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European Equities"
"07 Feb 2023"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;99.50;99.90;97.50;99.50;"06/02/2023 16:28";CET;110034;10849513.90
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;2.67;2.67;2.58;2.63;"06/02/2023 16:25";CET;297296;778108.30
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;118.00;118.00;118.00;118.00;"06/02/2023 12:18";CET;43;5074.00
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6.56;6.77;6.55;6.77;"06/02/2023 16:25";CET;250574;1664952.41
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;16.90;17.05;16.30;16.85;"06/02/2023 16:19";CET;35148;584172.60
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;91.25;91.55;89.55;90.00;"06/02/2023 16:26";CET;330654;29819378.10
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;1.85;2.12;1.85;2.09;"06/02/2023 12:51";CET;12664;24546.49
AEGA;NO0010626559;AEGA;"Euronext Expand Oslo";NOK;0.89;0.894;0.87;0.894;"06/02/2023 15:43";CET;160228;141578.91
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;149.40;150.00;146.40;147.00;"06/02/2023 16:25";CET;32513;4779715.20
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;29.50;30.20;29.50;30.20;"06/02/2023 16:25";CET;28789;862570.70
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;3.60;3.83;3.60;3.65;"06/02/2023 15:46";CET;2489396;9208710.70
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;11.90;11.98;11.74;11.90;"06/02/2023 16:25";CET;105719;1256942.68
AKER;NO0010234552;AKER;"Oslo Børs";NOK;732.00;733.00;716.00;725.50;"06/02/2023 16:25";CET;25231;18273582.50
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;38.90;38.90;35.55;35.55;"06/02/2023 16:25";CET;27590;999007.45
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;296.60;298.20;294.20;294.20;"06/02/2023 16:25";CET;1289920;381169384.20
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;16.32;16.40;15.60;15.81;"06/02/2023 16:25";CET;812307;12914943.63
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;15.30;15.88;14.96;15.525;"06/02/2023 16:25";CET;990742;15269441.28
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;37.90;38.48;37.66;38.32;"06/02/2023 16:25";CET;756925;28828065.74
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;7.46;7.54;7.40;7.40;"06/02/2023 16:15";CET;62776;469404.26
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;71.00;71.00;71.00;71.00;"06/02/2023 10:47";CET;55;3905.00
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;19.95;19.95;19.35;19.80;"06/02/2023 16:25";CET;12966;254020.80
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;43.40;43.40;42.45;43.00;"06/02/2023 16:25";CET;27524;1180095.30
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;37.80;38.00;37.50;38.00;"06/02/2023 16:25";CET;2157;81550.00
"AQUA BIO TECHNO";NO0010307135;ABT;"Euronext Expand Oslo";NOK;7.00;7.15;7.00;7.12;"06/02/2023 12:48";CET;5481;38988.40
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;3.53;3.53;3.455;3.50;"06/02/2023 16:25";CET;1209722;4427514.84
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;10.80;10.80;9.86;10.10;"06/02/2023 16:16";CET;21482;222724.51
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;95.20;95.20;95.20;95.20;"06/02/2023 09:48";CET;47;4474.40
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;42.70;42.74;41.22;42.10;"06/02/2023 16:25";CET;97372;4109599.06
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;264.50;264.50;257.50;258.50;"06/02/2023 16:25";CET;787;204875.00
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;1.715;1.715;1.70;1.70;"03/02/2023 16:25";CET;12811;21859.21
"ARRIBATEC GROUP";NO0003108102;ARR;"Oslo Børs";NOK;0.412;0.412;0.385;0.4095;"06/02/2023 16:25";CET;3097075;1214724.21
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;14.50;14.64;14.08;14.14;"06/02/2023 16:25";CET;48508;693724.16
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;8.56;9.00;8.14;8.34;"06/02/2023 16:25";CET;73270;618611.52
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;114.00;115.60;114.00;115.00;"06/02/2023 16:25";CET;25255;2902436.60
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;9.325;9.335;8.50;8.865;"06/02/2023 16:25";CET;429536;3810058.08
"AURORA EIENDOM";NO0011032310;AURA;"Euronext Growth Oslo";NOK;80.00;80.00;77.60;77.80;"06/02/2023 16:25";CET;591;47021.80
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;220.00;222.00;220.00;220.00;"06/02/2023 15:30";CET;4241;933120.00
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;94.50;94.95;93.00;93.95;"06/02/2023 16:25";CET;139203;13084076.85
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;23.70;23.80;23.02;23.58;"06/02/2023 16:25";CET;990464;23340491.63
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;62.75;64.55;62.35;63.05;"06/02/2023 16:25";CET;82171;5208383.40
"AWILCO DRILLING";NO0012785098;AWDR;"Euronext Growth Oslo";NOK;30.90;35.00;30.90;35.00;"06/02/2023 12:20";CET;1016;35543.80
"AWILCO LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;8.27;8.50;8.27;8.41;"06/02/2023 16:25";CET;62510;524288.79
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;5.925;6.01;5.89;5.90;"06/02/2023 16:25";CET;454711;2716541.45
"AYFIE GROUP";NO0010793243;AYFIE;"Euronext Growth Oslo";NOK;0.65;0.80;0.65;0.69;"06/02/2023 15:50";CET;452659;317143.14
B2HOLDING;NO0010633951;B2H;"Oslo Børs";NOK;7.70;7.77;7.60;7.64;"06/02/2023 16:25";CET;137896;1061241.88
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;609.50;612.00;603.00;608.00;"06/02/2023 16:25";CET;48030;29187178.50
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;50.00;50.00;50.00;50.00;"20/12/2022 10:16";CET;5000;250000.00
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;4.88;4.88;4.88;4.88;"03/02/2023 12:07";CET;6000;29280.00
BELSHIPS;NO0003094104;BELCO;"Oslo Børs";NOK;17.78;17.78;17.18;17.48;"06/02/2023 16:28";CET;619135;10780678.14
"BENCHMARK HOLDINGS";GB00BGHPT808;BMK;"Euronext Growth Oslo";NOK;5.00;5.00;5.00;5.00;"03/02/2023 09:00";CET;35;175.00
"BERGEN CARBON SOL";NO0010950249;BCS;"Euronext Growth Oslo";NOK;8.50;8.50;8.00;8.15;"06/02/2023 16:25";CET;168041;1365019.57
BERGENBIO;NO0010650013;BGBIO;"Oslo Børs";NOK;7.30;7.80;7.30;7.55;"06/02/2023 16:25";CET;125449;947962.68
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;48.65;52.10;48.65;51.20;"06/02/2023 16:25";CET;23299;1174244.55
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;92.18;92.18;92.18;92.18;"06/02/2023 14:29";CET;60;5530.80
"BIOFISH HOLDING";NO0010955198;BFISH;"Euronext Growth Oslo";NOK;1.58;1.58;1.40;1.46;"06/02/2023 16:27";CET;680400;977947.65
"BLACK SEA PROPERTY";NO0010755101;BSP;"Euronext Growth Oslo";NOK;0.55;1.34;0.55;1.01;"06/02/2023 16:16";CET;117095;128579.26
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;285.50;285.50;277.50;280.50;"06/02/2023 16:25";CET;6595;1851521.00
BORGESTAD;NO0003111700;BOR;"Oslo Børs";NOK;1.56;1.57;1.56;1.57;"06/02/2023 16:18";CET;34171;53347.42
"BORR DRILLING";BMG1466R1732;BORR;"Oslo Børs";NOK;58.80;59.33;58.14;58.66;"06/02/2023 16:29";CET;492067;28894055.36
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;180.60;182.00;177.60;181.80;"06/02/2023 16:25";CET;108267;19555058.80
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;57.50;59.60;57.50;59.00;"06/02/2023 16:25";CET;20706;1218164.00
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;28.60;29.14;28.32;28.40;"06/02/2023 16:25";CET;157499;4513900.36
"BW Epic Kosan";SGXZ80461361;BWEK;"Euronext Growth Oslo";NOK;20.00;20.00;19.60;19.60;"03/02/2023 16:25";CET;1568;31359.60
"BW IDEOL";NO0010947385;BWIDL;"Euronext Growth Oslo";NOK;6.00;6.40;5.80;6.16;"06/02/2023 16:25";CET;98021;591513.64
"BW LPG";BMG173841013;BWLPG;"Oslo Børs";NOK;81.75;82.75;80.05;80.05;"06/02/2023 16:25";CET;191722;15537429.25
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;27.00;27.00;26.36;26.70;"06/02/2023 16:26";CET;308759;8249720.40
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;31.90;31.90;29.20;29.50;"06/02/2023 16:27";CET;7575;230007.60
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;41.80;42.42;41.02;42.42;"06/02/2023 16:25";CET;60404;2545142.44
CAMBI;NO0010078850;CAMBI;"Euronext Growth Oslo";NOK;6.25;6.55;6.25;6.50;"06/02/2023 16:14";CET;45847;296529.76
"CANOPY HOLDINGS";NO0010781560;CAN;"Euronext Growth Oslo";NOK;0.441;0.475;0.441;0.475;"06/02/2023 16:25";CET;1268;576.19
CARASENT;NO0010123060;CARA;"Oslo Børs";NOK;17.20;17.26;16.70;16.70;"06/02/2023 16:26";CET;30172;514768.60
"CARBON TRANSITION";NO0010778095;CARBN;"Euronext Expand Oslo";NOK;1.002;1.054;1.002;1.054;"06/02/2023 16:25";CET;134179;138618.88
"CIRCA GROUP";NO0010917594;CIRCA;"Euronext Growth Oslo";NOK;6.00;6.20;5.99;6.10;"06/02/2023 16:25";CET;105449;637126.54
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;3.70;4.00;3.70;4.00;"06/02/2023 12:44";CET;27226;108433.85
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;11.80;12.00;11.66;11.90;"06/02/2023 16:25";CET;239779;2844951.96
"CO2 CAPSOL";NO0010923121;CAPSL;"Euronext Growth Oslo";NOK;13.46;16.00;12.80;13.70;"06/02/2023 16:25";CET;48374;654835.22
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;9.30;9.30;8.46;9.09;"06/02/2023 16:04";CET;112582;996010.45
"COOL COMPANY";BMG2415A1137;COOL;"Euronext Growth Oslo";NOK;108.30;108.90;105.56;107.54;"06/02/2023 16:25";CET;150729;16135947.16
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;102.50;103.00;100.00;101.00;"06/02/2023 16:28";CET;125561;12736642.90
"CSAM HEALTH GROUP";NO0010894512;CSAM;"Euronext Growth Oslo";NOK;38.00;38.10;36.60;37.40;"06/02/2023 16:25";CET;8368;317563.60
CYVIZ;NO0010015175;CYVIZ;"Euronext Growth Oslo";NOK;36.60;36.80;36.40;36.70;"06/02/2023 10:00";CET;1442;52719.30
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;17.95;18.60;17.85;18.50;"06/02/2023 16:25";CET;195824;3570651.55
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;15.00;15.00;14.00;14.14;"06/02/2023 16:25";CET;44804;650758.92
DLTX;NO0003055808;DLTX;"Oslo Børs";NOK;4.05;4.05;3.81;3.99;"06/02/2023 16:25";CET;259636;1013826.67
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;191.05;191.05;188.80;189.55;"06/02/2023 16:28";CET;1138325;215848168.64
DNO;NO0003921009;DNO;"Oslo Børs";NOK;12.05;12.05;11.76;11.90;"06/02/2023 16:25";CET;4598397;54737734.74
DOF;NO0010070063;DOF;"Oslo Børs";NOK;0.72;0.739;0.541;0.676;"01/02/2023 11:53";CET;14360923;8821997.30
"DOLPHIN DRILLING";NO0012595950;DDRIL;"Euronext Growth Oslo";NOK;13.94;13.94;13.62;13.62;"06/02/2023 16:25";CET;187735;2581803.35
"EAM SOLAR";NO0010607781;EAM;"Euronext Expand Oslo";NOK;5.52;5.98;5.52;5.98;"06/02/2023 15:25";CET;3655;21429.56
"ECIT AS B-AKSJER";NO0010939804;ECIT;"Euronext Growth Oslo";NOK;6.94;7.08;6.84;6.94;"03/02/2023 16:19";CET;23163;161666.20
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;26.40;26.95;26.30;26.50;"06/02/2023 16:25";CET;8092;216293.90
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;11.40;11.48;11.20;11.20;"06/02/2023 16:25";CET;29883;340047.36
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;2.50;2.57;2.42;2.57;"06/02/2023 16:25";CET;531514;1327188.22
ELEKTROIMPORTØREN;NO0010911902;ELIMP;"Euronext Growth Oslo";NOK;50.60;50.60;45.50;45.70;"06/02/2023 16:25";CET;9796;461447.90
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;36.02;36.90;35.92;36.26;"06/02/2023 16:28";CET;807831;29295590.92
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;19.94;20.95;19.94;20.20;"06/02/2023 16:25";CET;177549;3609198.80
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;14.90;15.14;14.66;14.85;"06/02/2023 16:26";CET;552924;8232809.75
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;23.35;23.60;23.30;23.55;"06/02/2023 16:25";CET;7456;174119.45
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;27.60;29.00;27.60;29.00;"06/02/2023 16:25";CET;92842;2634045.08
ENERGEIA;NO0012697715;ENERG;"Euronext Growth Oslo";NOK;1.95;1.9598;1.6502;1.8998;"06/02/2023 15:02";CET;41610;76630.51
"ENSURGE MICROPOWER";NO0012450008;ENSU;"Oslo Børs";NOK;1.05;1.058;0.70;0.7101;"06/02/2023 16:29";CET;13934727;10840541.96
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;122.50;122.80;118.30;118.40;"06/02/2023 16:25";CET;112176;13369147.80
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Euronext Growth Oslo";NOK;38.00;38.00;37.70;37.80;"06/02/2023 15:40";CET;241;9110.90
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;297.65;298.95;293.70;294.50;"06/02/2023 16:31";CET;3028555;896364417.30
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;2.945;2.945;2.75;2.80;"06/02/2023 15:55";CET;31340;87046.51
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;68.60;68.60;66.20;68.00;"06/02/2023 16:25";CET;435856;29547595.65
EVERFUEL;DK0061414711;EFUEL;"Euronext Growth Oslo";NOK;47.70;47.85;45.10;47.30;"06/02/2023 16:25";CET;36766;1706884.85
"EXACT THERAPEUTICS";NO0010852213;EXTX;"Euronext Growth Oslo";NOK;13.00;13.00;13.00;13.00;"06/02/2023 09:00";CET;50;650.00
"FLEX LNG";BMG359472021;FLNG;"Oslo Børs";NOK;315.00;321.60;311.00;317.40;"06/02/2023 16:28";CET;55839;17671777.60
FLYR;NO0010931900;FLYR;"Euronext Growth Oslo";NOK;0.002;0.0022;0.0019;0.002;"31/01/2023 16:29";CET;2147483647;7071083.68
FRONTLINE;CY0200352116;FRO;"Oslo Børs";NOK;148.00;156.90;148.00;154.50;"06/02/2023 16:28";CET;1335357;203072295.44
FRØY;NO0010936792;FROY;"Oslo Børs";NOK;60.20;61.50;60.00;60.00;"06/02/2023 16:19";CET;185985;11240204.90
"GAMING INNOVATION";US36467X2062;GIG;"Oslo Børs";NOK;26.48;27.00;26.02;27.00;"06/02/2023 16:25";CET;32984;873466.72
"GC RIEBER SHIPPING";NO0010262686;RISH;"Oslo Børs";NOK;12.75;12.95;12.50;12.50;"06/02/2023 16:25";CET;9397;119426.75
"GENTIAN DIAGNOSTIC";NO0010748866;GENT;"Oslo Børs";NOK;40.00;40.10;40.00;40.00;"06/02/2023 15:03";CET;3384;135456.50
"GIGANTE SALMON";NO0011013765;GIGA;"Euronext Growth Oslo";NOK;8.40;8.40;8.20;8.20;"06/02/2023 16:19";CET;14261;118112.98
"GJENSIDIGE FORSIKR";NO0010582521;GJF;"Oslo Børs";NOK;183.90;186.30;183.50;185.90;"06/02/2023 16:25";CET;373595;69355865.40
"GOLDEN ENERGY OFF";NO0010813843;GEOS;"Euronext Growth Oslo";NOK;1.66;1.66;1.565;1.59;"06/02/2023 16:25";CET;28989;45823.78
"GOLDEN OCEAN GROUP";BMG396372051;GOGL;"Oslo Børs";NOK;95.00;95.68;93.62;94.94;"06/02/2023 16:25";CET;560496;53077765.76
GOODTECH;NO0004913609;GOD;"Oslo Børs";NOK;8.10;8.37;8.10;8.37;"06/02/2023 16:25";CET;11207;93618.70
"GRAM CAR CARRIERS";NO0011109563;GCC;"Oslo Børs";NOK;138.40;140.96;135.20;140.04;"06/02/2023 16:25";CET;65802;9151727.28
"GREEN MINERALS";NO0010907744;GEM;"Euronext Growth Oslo";NOK;4.11;4.16;4.00;4.04;"06/02/2023 16:07";CET;68349;278198.17
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;84.35;84.45;82.75;84.25;"06/02/2023 16:25";CET;234696;19691247.85
"GRONG SPAREBANK";NO0010636491;GRONG;"Euronext Growth Oslo";NOK;155.00;158.00;155.00;158.00;"03/02/2023 14:48";CET;200;31215.00
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;560.00;560.00;560.00;560.00;"03/02/2023 10:12";CET;90;50400.00
"HAFNIA LIMITED";BMG4233B1090;HAFNI;"Oslo Børs";NOK;55.80;56.10;53.30;54.70;"06/02/2023 16:25";CET;1652792;89939845.20
HARMONYCHAIN;NO0010921299;HMONY;"Euronext Growth Oslo";NOK;0.70;0.72;0.55;0.70;"06/02/2023 16:14";CET;481958;327086.07
"HAV GROUP";NO0010931918;HAV;"Euronext Growth Oslo";NOK;10.00;10.30;9.94;9.94;"06/02/2023 16:26";CET;168435;1699439.32
"HAVILA KYSTRUTEN";NO0011045429;HKY;"Euronext Growth Oslo";NOK;10.35;10.40;9.90;10.35;"06/02/2023 16:25";CET;37660;376544.45
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;19.90;20.00;19.26;19.76;"06/02/2023 16:25";CET;196338;3858283.60
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;36.60;36.78;35.94;36.30;"06/02/2023 16:25";CET;113593;4124238.52
"HEXAGON PURUS";NO0010904923;HPUR;"Euronext Growth Oslo";NOK;28.70;29.68;28.24;29.68;"06/02/2023 16:25";CET;181026;5297674.14
"HIMALAYA SHIPPING";BMG4660A1036;HSHIP;"Euronext Expand Oslo";NOK;53.80;53.80;52.20;52.40;"06/02/2023 16:25";CET;8575;455291.60
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;2.85;2.94;2.83;2.88;"06/02/2023 16:25";CET;21578;61313.78
"HORISONT ENERGI";NO0010917339;HRGI;"Euronext Growth Oslo";NOK;14.90;15.18;12.70;12.94;"06/02/2023 16:25";CET;325129;4486569.50
"HUDDLESTOCK FINTEC";NO0010859648;HUDL;"Euronext Growth Oslo";NOK;2.35;2.37;2.32;2.36;"06/02/2023 16:08";CET;68203;159571.99
HUDDLY;NO0010776990;HDLY;"Euronext Growth Oslo";NOK;3.595;3.935;3.595;3.60;"06/02/2023 15:08";CET;45226;165463.12
"HUNTER GROUP";NO0010283211;HUNT;"Euronext Expand Oslo";NOK;0.14;0.1654;0.1362;0.1438;"06/02/2023 16:28";CET;71315901;10623449.63
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;32.50;33.00;31.55;31.95;"06/02/2023 16:25";CET;111548;3587756.00
HYNION;NO0010920945;HYN;"Euronext Growth Oslo";NOK;0.599;0.599;0.547;0.572;"06/02/2023 16:28";CET;671424;374867.12
"HYNION WR";NO0012781873;HYNS;"Euronext Growth Oslo";NOK;0.036;0.055;0.036;0.055;"06/02/2023 09:29";CET;63270;2291.97
HYON;NO0011204158;HYON;"Euronext Growth Oslo";NOK;0.6449;0.6485;0.6052;0.615;"06/02/2023 16:25";CET;413630;260026.63
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;58.50;58.70;56.70;57.70;"06/02/2023 16:28";CET;338125;19460179.40
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;142.00;144.00;142.00;142.00;"02/02/2023 16:19";CET;418;59956.00
"ICE FISH FARM";NO0010884794;IFISH;"Euronext Growth Oslo";NOK;27.40;27.40;26.50;26.50;"06/02/2023 14:04";CET;110;2924.00
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;165.00;165.00;143.00;150.00;"06/02/2023 16:25";CET;1096;164429.00
"IDEX BIOMETRICS";NO0003070609;IDEX;"Oslo Børs";NOK;0.8345;0.836;0.7805;0.7925;"06/02/2023 16:25";CET;5086674;4052347.52
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;5.50;5.50;5.50;5.50;"03/02/2023 15:54";CET;10000;55000.00
"INIFY LABORATORIES";SE0017486103;INIFY;"Euronext Growth Oslo";NOK;7.75;8.25;7.75;8.25;"06/02/2023 15:40";CET;278;2177.89
"ININ GROUP";NO0010864036;ININ;"Euronext Growth Oslo";NOK;2.10;2.195;2.10;2.18;"06/02/2023 16:18";CET;17458;38108.39
INSTABANK;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;1.66;1.695;1.66;1.695;"06/02/2023 12:52";CET;21430;36301.10
"INTEGRATED WIND SO";NO0010955883;IWS;"Euronext Growth Oslo";NOK;34.80;34.80;34.80;34.80;"06/02/2023 15:46";CET;1200;41760.00
"INTEROIL EXPL PROD";NO0010284318;IOX;"Oslo Børs";NOK;0.996;0.999;0.97;0.998;"06/02/2023 16:25";CET;604458;593986.82
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;14.10;14.40;13.90;14.40;"06/02/2023 16:25";CET;24628;343195.30
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;9.60;9.67;9.08;9.25;"06/02/2023 16:25";CET;84234;789287.87
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;242.00;242.00;240.00;240.00;"06/02/2023 10:01";CET;306;73554.00
KAHOOT!;NO0010823131;KAHOT;"Oslo Børs";NOK;18.30;18.79;18.215;18.52;"06/02/2023 16:25";CET;1165358;21577316.78
KID;NO0010743545;KID;"Oslo Børs";NOK;77.10;80.90;76.60;79.10;"06/02/2023 16:25";CET;38349;3025550.00
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;27.90;28.00;27.35;27.50;"06/02/2023 16:25";CET;352241;9702110.05
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;68.00;68.20;67.00;68.20;"06/02/2023 16:00";CET;10358;704973.00
"KMC PROPERTIES";NO0010360175;KMCP;"Oslo Børs";NOK;7.00;7.00;6.96;6.98;"06/02/2023 16:25";CET;40150;280639.04
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;13.70;13.70;13.00;13.12;"06/02/2023 16:25";CET;17869;237478.98
"KOMPLETT BANK";NO0010694029;KOMP;"Oslo Børs";NOK;5.80;5.80;5.52;5.74;"06/02/2023 16:25";CET;62002;347129.26
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;2.814;2.90;2.814;2.886;"06/02/2023 16:25";CET;3902722;11188317.67
"KONGSBERG GRUPPEN";NO0003043309;KOG;"Oslo Børs";NOK;389.00;390.60;384.40;389.00;"06/02/2023 16:27";CET;103726;40256391.60
"KRAFT BANK";NO0010815103;KRAB;"Euronext Growth Oslo";NOK;9.05;9.50;9.00;9.50;"06/02/2023 16:25";CET;13686;129235.60
"KYOTO GROUP";NO0010936750;KYOTO;"Euronext Growth Oslo";NOK;17.85;18.40;17.80;18.40;"06/02/2023 14:49";CET;10188;184331.45
"LEA BANK";NO0010167331;LEA;"Euronext Growth Oslo";NOK;8.20;8.20;8.00;8.00;"06/02/2023 15:52";CET;13937;111635.00
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;56.25;56.85;55.75;56.75;"06/02/2023 16:27";CET;423044;23835847.60
LIFECARE;NO0010591191;LIFE;"Euronext Growth Oslo";NOK;2.72;2.80;2.525;2.60;"06/02/2023 16:25";CET;698000;1855958.91
